GBE_ID	GBE_short_name	pops	num_pops	gene	n_pav	n_ptv	l10BF_IEM_pav	l10BF_SEM_pav	l10BF_SEM_ptv
BIN10030500	Microalbumin > 40 mg/L	related_white_british	2	COL4A4	12	2.0	25.7	20.7	25.6
BIN10030500	Microalbumin > 40 mg/L	related_white_british	2	CUBN	20		11.4	5.9	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_related_white_british	3	OCA2	9		84.4	85.2	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_related_white_british	3	SLC12A9	9		10.7	8.15	nan
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_related_white_british	3	TPCN2	18	3.0	7.97	7.87	3.71
BIN_FC1001747	Hair colour (natural, before greying) blonde	non_british_white_related_white_british	3	HERC2	24		6.42	11.2	nan
BIN_FC1002247	Hearing difficulty	non_british_white_others_white_british	3	PDCD6	6		10.9	11.1	nan
BIN_FC1002247	Hearing difficulty	non_british_white_others_white_british	3	GJB2	33	6.0	4.28	5.05	4.07
BIN_FC1002306	Weight change compared with 1 year ago	african_non_british_white_others_related_s_asian_white_british	6	SLC25A5	18		4.33	5.58	nan
BIN_FC3001747	Hair colour (natural, before greying) light brown	non_british_white_others_white_british	3	HERC2	63		5.5	-0.381	nan
BIN_FC3002247	Hearing difficulty and Deafness	non_british_white_others_related_white_british	4	PDCD6	8		12	12.4	nan
BIN_FC3002247	Hearing difficulty and Deafness	non_british_white_others_related_white_british	4	GJB2	44	8.0	5.01	6	4.57
BIN_FC40002267	Use of sun/uv protection (Always)	non_british_white_others_related_white_british	4	MC1R	12	4.0	4.18	5.16	2.25
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_white_british	3	OCA2	18		35.3	19.6	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_white_british	3	MC1R	12	3.0	21.3	25.4	11
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_white_british	3	HERC2	63		13.2	-0.297	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_white_british	3	FANCA	54		8.13	11	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_white_british	3	SLC12A9	18		8.12	4.75	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_white_british	3	GOLGA8M	60	3.0	6.83	1.55	1.88
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_white_british	3	CPNE7	15		7.62	0.875	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_white_british	3	ZNF778	39		6.19	11.9	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_white_british	3	ACSF3	24		5.43	0.532	nan
BIN_FC4001747	Hair colour (natural, before greying) dark brown	non_british_white_others_white_british	3	TCF25	21		2.99	6.34	nan
BIN_FC5001747	Hair colour (natural, before greying) black	african_others_related_s_asian_white_british	5	SLC24A5	5		5.11	5.11	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_white_british	4	MC1R	16	4.0	62.5	75.5	37.8
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_white_british	4	OCA2	24		42.8	33.7	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_white_british	4	CPNE7	16		18.5	6.73	nan
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_white_british	4	GAS8	16	4.0	11.3	0.384	-0.332
BIN_FC7001747	Hair colour (natural, before greying) brown	non_british_white_others_related_white_british	4	ACSF3	28		10.3	3.01	nan
